packId,packName,code,name,challenge,points,difficulty,type,visibility,eligiblePars,requiredTags,excludedTags,rulesText
hybrid,Hybrid,HYB-001,Match the Leader,Finish the hole with the same or better real score than the current leader.,2,medium,hybrid,Personal,"3, 4, 5",-,-,Manual mission check. Finish the hole with the same or better real score than the current leader. Reward: +2.
hybrid,Hybrid,HYB-002,Spoiler Alert,Beat at least one player who is ahead of you in game points on this hole's real score.,2,medium,hybrid,Personal,"3, 4, 5",-,-,Manual mission check. Beat at least one player who is ahead of you in game points on this hole's real score. Reward: +2.
hybrid,Hybrid,HYB-003,Chase Mode,"If the player before you completes their mission, complete yours too.",2,medium,hybrid,Personal,"3, 4, 5",-,-,"Manual mission check. If the player before you completes their mission, complete yours too. Reward: +2."
hybrid,Hybrid,HYB-004,Best in the Group,Record the best real score on the hole outright.,3,hard,hybrid,Personal,"3, 4, 5",-,-,Manual mission check. Record the best real score on the hole outright. Reward: +3.
hybrid,Hybrid,HYB-005,Survivor,"If at least one player makes double bogey or worse, make bogey or better.",2,medium,hybrid,Personal,"3, 4, 5",-,-,"Manual mission check. If at least one player makes double bogey or worse, make bogey or better. Reward: +2."
hybrid,Hybrid,HYB-006,Pressure Pairing,Finish no more than one stroke worse than the best score in the group.,2,medium,hybrid,Personal,"3, 4, 5",-,-,Manual mission check. Finish no more than one stroke worse than the best score in the group. Reward: +2.
hybrid,Hybrid,HYB-007,Outplay the Bombers,Have a shorter drive than someone else in the group but still tie or beat them on the hole.,3,hard,hybrid,Personal,"3, 4, 5",-,-,Manual mission check. Have a shorter drive than someone else in the group but still tie or beat them on the hole. Reward: +3.
hybrid,Hybrid,HYB-008,Closer's Bonus,"If you are the last to hole out, still make bogey or better.",2,medium,hybrid,Personal,"3, 4, 5",-,-,"Manual mission check. If you are the last to hole out, still make bogey or better. Reward: +2."
hybrid,Hybrid,HYB-009,Turn the Tables,"After losing to at least one player on the previous hole, beat them here.",3,hard,hybrid,Personal,"3, 4, 5",-,-,"Manual mission check. After losing to at least one player on the previous hole, beat them here. Reward: +3."
hybrid,Hybrid,HYB-010,Shadow Game,Match your own mission and also beat your previous hole's real score.,3,hard,hybrid,Personal,"3, 4, 5",-,-,Manual mission check. Match your own mission and also beat your previous hole's real score. Reward: +3.
