packId,packName,code,name,challenge,points,difficulty,type,visibility,eligiblePars,requiredTags,excludedTags,rulesText
novelty,Novelty,NOV-001,One-Hand Wonder,"Hit one shot one-handed during this hole, then finish double bogey or better.",4,hard,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. Hit one shot one-handed during this hole, then finish double bogey or better. Reward: +4."
novelty,Novelty,NOV-002,Opposite-Hand Escape,"On one short shot or putt, use your opposite-handed stance and still finish double bogey or better.",4,hard,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. On one short shot or putt, use your opposite-handed stance and still finish double bogey or better. Reward: +4."
novelty,Novelty,NOV-003,Putter Off the Fringe,"From off the green, use putter at least once and still make bogey or better.",3,medium,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. From off the green, use putter at least once and still make bogey or better. Reward: +3."
novelty,Novelty,NOV-004,Feet Together,"Hit one full or partial shot with your feet together, then finish double bogey or better.",4,hard,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. Hit one full or partial shot with your feet together, then finish double bogey or better. Reward: +4."
novelty,Novelty,NOV-005,Knockdown Artist,"Declare one shot a low punch or knockdown before hitting it, then pull it off and finish bogey or better.",3,medium,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. Declare one shot a low punch or knockdown before hitting it, then pull it off and finish bogey or better. Reward: +3."
novelty,Novelty,NOV-006,Caddie's Choice,"Let another player choose your club for one shot, then finish double bogey or better.",4,hard,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. Let another player choose your club for one shot, then finish double bogey or better. Reward: +4."
novelty,Novelty,NOV-007,"No Glove, No Problem",Play the entire hole without a glove and finish bogey or better.,3,medium,novelty,Personal,"3, 4, 5",-,-,Manual mission check. Play the entire hole without a glove and finish bogey or better. Reward: +3.
novelty,Novelty,NOV-008,Three-Quarter Specialist,"On one full swing, intentionally hit a three-quarter shot and keep it in play. Finish double bogey or better.",3,medium,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. On one full swing, intentionally hit a three-quarter shot and keep it in play. Finish double bogey or better. Reward: +3."
novelty,Novelty,NOV-009,Texas Wedge Life,Use putter from off the green at least once and finish bogey or better.,3,medium,novelty,Personal,"3, 4, 5",-,-,Manual mission check. Use putter from off the green at least once and finish bogey or better. Reward: +3.
novelty,Novelty,NOV-010,Called Bank Shot,"Call that your chip or putt will use a slope, bank, or side contour, then execute it well enough to finish within 4 feet or hole it.",4,hard,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. Call that your chip or putt will use a slope, bank, or side contour, then execute it well enough to finish within 4 feet or hole it. Reward: +4."
novelty,Novelty,NOV-011,Eyes on the Prize,"On one short putt inside 4 feet, hold your finish dramatically until the ball drops. Still make bogey or better.",3,medium,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. On one short putt inside 4 feet, hold your finish dramatically until the ball drops. Still make bogey or better. Reward: +3."
novelty,Novelty,NOV-012,Hero Pose,"After one shot, hold a ridiculously confident pose until the ball lands. If the shot is acceptable and you finish double bogey or better, score it.",3,medium,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. After one shot, hold a ridiculously confident pose until the ball lands. If the shot is acceptable and you finish double bogey or better, score it. Reward: +3."
novelty,Novelty,NOV-013,The Bump-and-Run,Play one intentional bump-and-run chip and get it onto the green or fringe. Finish bogey or better.,3,medium,novelty,Personal,"3, 4, 5",-,-,Manual mission check. Play one intentional bump-and-run chip and get it onto the green or fringe. Finish bogey or better. Reward: +3.
novelty,Novelty,NOV-014,Club Flip Approved,"After one clearly good shot, do a club twirl or flip. If the group agrees the shot earned it and you finish double bogey or better, score it.",3,medium,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. After one clearly good shot, do a club twirl or flip. If the group agrees the shot earned it and you finish double bogey or better, score it. Reward: +3."
novelty,Novelty,NOV-015,Walk-In Putt,"Before a putt outside 6 feet, start walking after contact as if it's going in. If it drops, score it.",4,hard,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. Before a putt outside 6 feet, start walking after contact as if it's going in. If it drops, score it. Reward: +4."
novelty,Novelty,NOV-016,Half-Swing Hustle,Take one intentional half-swing on a recovery or wedge shot and still make bogey or better.,3,medium,novelty,Personal,"3, 4, 5",-,-,Manual mission check. Take one intentional half-swing on a recovery or wedge shot and still make bogey or better. Reward: +3.
novelty,Novelty,NOV-017,"No Tee, Brave Soul","On one tee shot, hit without using a tee when legal to do so, and keep it in play. Finish double bogey or better.",4,hard,novelty,Personal,"3, 4, 5",-,-,"Manual mission check. On one tee shot, hit without using a tee when legal to do so, and keep it in play. Finish double bogey or better. Reward: +4."
