packId,packName,code,name,challenge,points,difficulty,type,visibility,eligiblePars,requiredTags,excludedTags,rulesText
classic,Classic,COM-001,Fairway Finder,Hit the fairway off the tee on a par 4 or 5.,1,easy,common,Personal,"4, 5",-,-,Success if tee shot finishes in fairway on a par 4 or 5.
classic,Classic,COM-002,Green Light,Reach the green in regulation.,1,easy,common,Personal,"3, 4, 5",-,-,Success if player reaches GIR for the hole par.
classic,Classic,COM-003,Clean Start,No penalty strokes on the hole.,1,easy,common,Personal,"3, 4, 5",-,-,Success if player records zero penalty strokes on the hole.
classic,Classic,COM-004,Two-Putt Pro,Take no more than two putts once on the green.,1,easy,common,Personal,"3, 4, 5",-,-,Success if player needs at most two putts after first reaching green.
classic,Classic,COM-005,Bogey Saver,Make bogey or better.,1,easy,common,Personal,"3, 4, 5",-,-,"Success if score is bogey, par, birdie, or better."
classic,Classic,COM-006,Solid Contact,Advance every full swing at least 70% of intended distance with no whiffs or duffs.,1,medium,common,Personal,"3, 4, 5",-,-,Success if all full swings are solid advances and no full swing is a whiff/duff.
classic,Classic,COM-007,No Sand Trouble,Avoid all bunkers on the hole.,1,easy,common,Personal,"3, 4, 5",bunkers,-,Success if player never enters a bunker on this hole.
classic,Classic,COM-008,Recovery Artist,Miss the fairway but still make bogey or better.,1,medium,common,Personal,"4, 5",-,-,Success if player misses fairway off tee and still scores bogey or better.
classic,Classic,COM-009,Safe Layup,"On a par 5, do not go for the green in two, then make bogey or better.",1,medium,common,Personal,5,reachablePar5,-,Success if player intentionally lays up on a reachable par 5 and still scores bogey or better.
classic,Classic,COM-010,First-Putt Friend,Your first putt finishes within 3 feet of the hole.,1,easy,common,Personal,"3, 4, 5",-,-,Success if first putt leaves 3 feet or less.
classic,Classic,COM-011,Straight Ball,No shot on the hole ends out of bounds or in a hazard.,1,medium,common,Personal,"3, 4, 5",-,-,Success if all strokes stay in play and avoid OB/hazard areas.
classic,Classic,COM-012,Par 3 Survivor,"On a par 3, make bogey or better.",1,easy,common,Personal,3,-,-,Success if score is bogey or better on a par 3.
classic,Classic,COM-013,Good Miss,Miss the green but get up-and-down for bogey or better.,1,medium,common,Personal,"3, 4, 5",-,-,Success if player misses green and still finishes bogey or better.
