packId,packName,code,name,challenge,points,difficulty,type,visibility,eligiblePars,requiredTags,excludedTags,rulesText
style,Style,STY-001,Called Shot,"Before one shot, call your intended shape or landing zone. Pull it off to score.",2,medium,style,Personal,"3, 4, 5",-,-,"Manual mission check. Before one shot, call your intended shape or landing zone. Pull it off to score. Reward: +2."
style,Style,STY-002,Deadpan,No celebration allowed if you complete your mission. Break character and lose the bonus.,1,easy,style,Personal,"3, 4, 5",-,-,Manual mission check. No celebration allowed if you complete your mission. Break character and lose the bonus. Reward: +1.
style,Style,STY-003,Finger Guns,"After a made putt, celebrate like a complete dork.",1,easy,style,Personal,"3, 4, 5",-,-,"Manual mission check. After a made putt, celebrate like a complete dork. Reward: +1."
style,Style,STY-004,Commentary Mode,"Another player narrates your next shot. If you succeed, both earn +1.",1,easy,style,Personal,"3, 4, 5",-,-,Manual mission check. Another player narrates your next shot; if successful both players gain +1.
style,Style,STY-005,Walk-Off Energy,"After your final putt, do not watch it. Start walking immediately. It still has to drop.",3,hard,style,Personal,"3, 4, 5",-,-,"Manual mission check. After your final putt, do not watch it. Start walking immediately. It still has to drop. Reward: +3."
style,Style,STY-006,Club Twirl Tax,"After your best full swing of the hole, you must club twirl. If the group agrees it was worthy, score it.",1,easy,style,Personal,"3, 4, 5",-,-,"Manual mission check. After your best full swing of the hole, you must club twirl. If the group agrees it was worthy, score it. Reward: +1."
style,Style,STY-007,PGA Interview,"After the hole, explain one shot as if you're in a post-round interview. Group votes if you committed to the bit.",1,easy,style,Personal,"3, 4, 5",-,-,"Manual mission check. After the hole, explain one shot as if you're in a post-round interview. Group votes if you committed to the bit. Reward: +1."
style,Style,STY-008,Villain Arc,"For one shot, openly announce an absurdly aggressive intention. If you pull it off, score it.",2,medium,style,Personal,"3, 4, 5",-,-,"Manual mission check. For one shot, openly announce an absurdly aggressive intention. If you pull it off, score it. Reward: +2."
style,Style,STY-009,Caddie for a Moment,"Let another player choose your club for one shot. If the result is acceptable and you still make bogey or better, score it.",2,medium,style,Personal,"3, 4, 5",-,-,"Manual mission check. Let another player choose your club for one shot. If the result is acceptable and you still make bogey or better, score it. Reward: +2."
style,Style,STY-010,Respect the Line,"Before a putt, dramatically squat and read it like it contains the secrets of the universe. Then make it.",2,medium,style,Personal,"3, 4, 5",-,-,"Manual mission check. Before a putt, dramatically squat and read it like it contains the secrets of the universe. Then make it. Reward: +2."
style,Style,STY-011,Signature Move,"Declare one shot your ""signature shot"" before hitting it. If the group agrees it looked pure, score it.",1,easy,style,Personal,"3, 4, 5",-,-,"Manual mission check. Declare one shot your ""signature shot"" before hitting it. If the group agrees it looked pure, score it. Reward: +1."
style,Style,STY-012,Broadcaster Voice,"Call your own shot in a golf-commentator voice before hitting it. If successful, score it.",1,easy,style,Personal,"3, 4, 5",-,-,"Manual mission check. Call your own shot in a golf-commentator voice before hitting it. If successful, score it. Reward: +1."
style,Style,STY-013,Stone Face Par,Make par or better and react like it meant absolutely nothing.,2,medium,style,Personal,"3, 4, 5",-,-,Manual mission check. Make par or better and react like it meant absolutely nothing. Reward: +2.
style,Style,STY-014,Cartoon Confidence,"On one putt outside 8 feet, confidently say ""that's in"" before the stroke. If it drops, score it.",3,hard,style,Personal,"3, 4, 5",-,-,"Manual mission check. On one putt outside 8 feet, confidently say ""that's in"" before the stroke. If it drops, score it. Reward: +3."
style,Style,STY-015,Group Approval,"Do one ridiculous but harmless celebration after completing your mission. If the group gives it a thumbs-up, score it.",1,easy,style,Personal,"3, 4, 5",-,-,"Manual mission check. Do one ridiculous but harmless celebration after completing your mission. If the group gives it a thumbs-up, score it. Reward: +1."
